Manuel Neuer,
Batuhan Altintas,
Marwin Hitz,
Alexander Manninger,
Ionnis Gelios,
Yannik Oettl,
Ragnar Klavan,
Paul Verhaegh,
Philipp Max,
Jeong-Ho Hong,
Konstantinos Stafylidis,
Jeffrey Gouweleeuw,
Christoph Janker,
Jan-Ingwer Callsen-Bracker,
Daniel Opare,
Abdul Rahman Baba,
Raphael Framberger,
Maik Uhde,
Tim Rieder,
Alexander Esswein,
Dominik Kohr,
Daniel Baier,
Ja-Cheol Koo,
Caiuby,
Markus Feulner,
Halil Altintop,
Tobias Werner,
Jan Mor&aacute;vek,
Piotr Trochowski,
Shawn Parker,
Bastian Kurz,
Marco Schuster,
Max Reinthaler,
Erik Thommy,
Arif Ekin,
Raul Bobadilla,
Dong-Won Ji,
Tim Matavz,
Alfred Finnbogason,
Sascha M&ouml;lders,
Albian Ajeti,
Nikola Djurdjic,
Oliver Baumann,
Jens Grahl,
Alexander Stolz,
Niklas S&uuml;le,
Pavel Kaderabek,
Tobias Strobl,
Fabian Sch&auml;r,
Ermin Bicakcic,
Jeremy Toljan,
Jin-Su Kim,
Nicolai Rapp,
Benedikt Gimber,
Luis Adv&iacute;ncula,
Jannik Dehm,
Eugen Polanski,
Eduardo Vargas,
Jonathan Schmid,
Nadiem Amiri,
Sebastian Rudy,
Pirmin Schwegler,
Steven Zuber,
Philipp Ochs,
Jiloan Hamad,
Tarik Elyounoussi,
Russell Canouse,
Kai Herdling,
Filip Malbasic,
J&uacute;nior Ponce,
Kevin Volland,
Mark Uth,
Andrej Kramaric,
Kevin Kuranyi,
Adam Szalai,
Joelinton,
Joshua Mees,
Christian Mathenia,
Patrick Platins,
Lukasz Za?uska,
Luca Caldirola,
Aytac Sulu,
Gy&ouml;rgy Garics,
Florian Jungwirth,
Fabian Holland,
Slobodan Rajkovic,
Junior Diaz,
Sandro Sirigu,
Benjamin Gorka,
Michael Stegmayer,
Noel Wembacher,
Jerome Gondorf,
Marcel Heller,
Tobias Kempe,
Peter Niemeyer,
Konstantin Rausch,
Jan Rosenthal,
Mario Vrancic,
Yannick Stark,
Milan Ivana,
Jan Finger,
Ali Kazimi,
Nick Volk,
Sandro Wagner,
Dominik Stroh-Engel,
Marco Sailer,
Felix Platte,
Felix Wiedwald,
Raphael Wolf,
Gerhard Tremmel,
Michael Zetterer,
Raif Husic,
Eric Oelschl&auml;gel,
Jannik Vestergaard,
Theodor Gebre Selassie,
Santiago Garcia,
Alejandro Galvez,
Papy Mison Djilobodji,
Assani Lukimya-Mulongoti,
Ulisses Garcia,
Janek Sternberg,
Milos Veljkovic,
Luca-Milan Zander,
Oliver H&uuml;sing,
Leon Guwara,
Mateo Pavlovi?,
Marnon Busch,
Fin Bartels,
Zlatko Junuzovic,
Clemens Fritz,
Levin &Ouml;ztunali,
Florian Grillitsch,
Philipp Bargfrede,
Sambou Yatabar&eacute;,
Felix Kroos,
Lukas Fr&ouml;de,
Lazlo Kleinheisler,
Maximilian Eggestein,
Marcel Hil&szlig;ner,
Cedrick Makiadi,
Levent Aycicek,
Izet Hajrovic,
&Ouml;zkan Yildirim,
Julian von Haacke,
Ludovic Obraniak,
Giorgi Papunashvili,
Anthony Ujah,
Claudio Pizarro,
Melvyn Lorenzen,
Aron Johannsson,
Lucas Hradecky,
Heinz Lindner,
Emil Balayev,
Yannick Zummack,
David Abraham,
Bastian Oczipka,
Carlos Zambrano,
Aleksandar Ignjovski,
Constant Djakpa,
Timothy Chandler,
Yanni Reg&auml;sel,
Kaan Ayhan,
David Kinsombi,
Anderson,
Makoto Hasebe,
Stefan Aigner,
Marco Russ,
Marc Stendera,
Stefan Reinartz,
Szabolcs Huszti,
Slobodan Medojevic,
Marco Fabian,
Sonny Kittel,
Mijat Gacinovic,
&Auml;nis Ben-Hatira,
Johannes Flum,
Joel Gerezgiher,
Takashi Inui,
Nico Rinderknecht,
Haris Seferovic,
Alexander Meier,
Luc Castaignos,
Luca Waldschmidt,
Vaclav Kadlec,
Enis Bunjaki,
Przemyslaw Tyton,
Odisseas Vlachodimos,
Mitchell Langerak,
Benjamin Uphoff,
Emiliano Insua,
Daniel Schwaab,
Florian Klein,
Toni Sunjic,
Georg Niedermeier,
Timo Baumgartl,
Kevin Gro&szlig;kreutz,
Adam Hlousek,
Philipp Heise,
Federico Barba,
Antonio R&uuml;diger,
Daniel Didavi,
Filip Kostic,
Lukas Rupp,
Christian Gentner,
Geoffroy Serey Die,
Alexandru Maxim,
Mart Ristl,
Arianit Ferati,
Robbie Kruse,
Carlos Gruezo,
Marvin Wanitzek,
Matthias Zimmermann,
Kevin St&ouml;ger,
Timo Werner,
Martin Harnik,
Artem Kravets,
Jan Kliment,
Daniel Ginczek,
Borys Tashchy,
Vedad Ibisevic,
Jerome Kiesewetter,
Ron-Robert Zieler,
Philipp Tschauner,
Samuel Radlinger,
Timo K&ouml;nigsmann,
Hiroki Sakai,
Christian Schulz,
Miko Albornoz,
Oliver Sorg,
Marcelo,
Alexander Milosevic,
Andre Hoffmann,
Felipe,
Waldemar Anton,
Vladimir Rankovic,
Yannik Schulze,
Niklas Teichgr&auml;ber,
Salif San&eacute;,
Kenan Karaman,
Manuel Schmiedebach,
Hiroshi Kiyotake,
Edgar Prib,
Felix Klaus,
Leon Andreasen,
Ceyhun G&uuml;lselam,
Uffe Bech,
Iver Fossum,
Hotaru Yamaguchi,
Valmir Sulejmani,
Mike-Steven B&auml;hre,
Maurice Hirsch,
Tim Dier&szlig;en,
Sebastian Ernst,
Artur Sobiech,
Allan Saint-Maximin,
Adam Szalai,
Mevlut Erdinc,
Charlison Benschop,
Hugo Almeida,
Noah-Joel Sarenren-Bazee,
Marius Wolf,
Alexander Schwolow,
Patric Klandt,
Konstantin Fuhry,
Christian G&uuml;nter,
Marc-Oliver Kempf,
Immanuel H&ouml;hn,
Marc Torrej&oacute;n,
Mensur Mujdza,
Pascal Stenzel,
Jonas F&ouml;hrenbach,
Vegar Eggen Hedenstad,
Lukas K&uuml;bler,
Amir Abrashi,
Nicolas H&ouml;fler,
Mike Frantz,
Vincenzo Grifo,
Lucas Hufnagel,
Julian Schuster,
Caleb Stanko,
Florian Kath,
Mats M&ouml;ller Daehli,
Marco Hingerl,
Nils Petersen,
Maximilian Philipp,
Karim Gued&eacute;,
Florian Niederlechner,
Tim Kleindienst,
Havard Nielsen,
Amir Falahen,
Fabian Schleusener,
Joshua Mees,
Philipp Zulechner,
Fabio Coltorti,
Peter Gulacsi,
Benjamin Bellot,
Willi Orban,
Lukas Klostermann,
Marcel Halstenberg,
Anthony Jung,
Marvin Compper,
Atinc Nukan,
Georg Teigl,
Tim Sebastian,
Ken Gipson,
Dimitri Skopintcev,
Mikko Sumusalo,
Marcel Sabitzer,
Dominik Kaiser,
Diego Demme,
Stefan Ilsanker,
Massimo Bruno,
Rani Khedira,
Zsolt Kalmar,
Stefan Hierl&auml;nder,
John-Patrick Strau&szlig;,
Yussuf Poulsen,
Emil Forsberg,
Davie Selke,
Nils Quaschner,
Idrissa Tour&eacute;,
Terrence Boyd,
Raphael Sch&auml;fer,
Thorsten Kirschbaum,
Patrick Rakovsky,
Benjamin Uphoff,
Miso Brecko,
Dave Bulthuis,
Tim Leibold,
Evan Hovland,
Laszlo Sepsi,
Georg Margreitter,
J&uuml;rgen M&ouml;ssmer,
Hanno Behrens,
Guido Burgstaller,
Niclas F&uuml;llkrug,
Danny Blum,
Kevin M&ouml;hwald,
Allesandro Sch&ouml;pf,
Sebastian Kerk,
Patrick Erras,
Jan Polak,
Ondrej Petrak,
Rurik Gislason,
Zolt&aacute;n Stieber,
Niklas Stark,
Robert Koch,
Timo Gebhart,
Willi Evseev,
Stefan Kutschke,
Jakub Sylvestr,
Philipp Hercher,
Cedric Teuchert,
Mariusz Stepinski,
Robin Himmelmann,
Philipp Heerwagen,
Svend Brodersen,
Daniel Buballa,
Lasse Sobiech,
Philipp Ziereis,
Marc Hornschuh,
Jeremy Dudziak,
Jan Philipp Kalla,
S&ouml;ren Gonther,
Yannick Deichmann,
Joel Keller,
Marcel Halstenberg,
Davidson Eden,
Andrej Startsev,
Davidson Drobo-Ampem,
Waldemar Sobota,
Christopher Buchtmann,
Marc Rzatkowski,
Enis Alushi,
Sebastian Maier,
Bernd Nehrig,
Kyoung-Rok Choi,
Ryo Miyaichi,
Dennis Rosin,
Maurice Litka,
Okan Kurt,
Armando Cooper,
Leroy Mickels,
Lennart Thy,
John Verhoek,
Fabrice-Jean Picault,
Ante Budimir,
Nico Empen,
Andreas Luthe,
Manuel Riemann,
Felix Dornebusch,
Stefano Celozzi,
Felix Bastians,
Patrick Fabian,
Timo Perthel,
Malcolm Cacutalua,
Giliano Wijnaldum,
Jan Simunek,
Jan Gyamerah,
David Niepsuj,
Robin Fechner,
Tim Hoogland,
Anthony Losilla,
Onur Bulut,
Thomas Eisfeld,
Arvydas Novikovas,
Michael Maria,
Tobias Weis,
Piotr Cwielong,
G&ouml;khan G&uuml;l,
Julian Stock,
Henrik Gulden,
Savino Marotta,
Simon Terodde,
Janik Haberer,
Marco Terrazzino,
Peniel Mlapa,
Nando Rafael,
Selim G&uuml;nd&uuml;z,
Daniel Haas,
Jakob Busk,
Steve Kroll,
Mohamed Amsif,
Benjamin Kessel,
Michael Parensen,
Christopher Trimmel,
Toni Leistner,
Roberto Puncec,
Emanuel Pogatetz,
Fabian Sch&ouml;nheim,
Denis Prychynenko,
Damir Kreilach,
Eroll Zejnullahu,
Dennis Daube,
Stephan F&uuml;rstner,
Kenny Prince Redondo,
Christopher Quiring,
Maximilian Thiel,
Felix Kroos,
Raffael Korte,
Adrian Nikci,
Benjamin K&ouml;hler,
Leonard Koch,
Bobby Wood,
S&ouml;ren Brandy,
Steven Skrzybski,
Collin Quaner,
Bajram Nebihi,
Dirk Orlishausen,
Ren&eacute; Vollath,
Florian Stritzel,
Manuel Gulde,
Dennis Kempe,
Martin Stoll,
Jan Mauersberger,
Sascha Traut,
Bjarne Thoelke,
Daniel Gordon,
Philipp Max,
Jannik Dehm,
Matthias Bader,
David Kinsombi,
Hiroki Yamada,
Manuel Torres,
Gaetan Krebs,
Enrico Valentini,
Boubacar Barry,
Jonas Meffert,
Dominic Peitz,
Grischa Pr&ouml;mel,
Ylli Sallahi,
Marvin Mehlem,
Tim Fahrenholz,
Jung-Bin Park,
Tim Grupp,
Erwin Hoffer,
Dimitrij Nazarov,
Dimitrios Diamantakos,
Mohamed Gouaida,
Vadim Manzon,
Pascal K&ouml;pke,
Rouwen Hennings,
Jan Zimmermann,
Kevin M&uuml;ller,
Sven Ullrich,
Arne Feick,
Kevin Kraus,
Robert Strau&szlig;,
Mathias Wittek,
Ronny Philp,
Tim G&ouml;hlert,
Sebastian Heidinger,
Maurizio Scioscia,
Timo Beermann,
Kevin Njie,
Marc Schnatterer,
Robert Leipertz,
Sebastian Griesbeck,
Norman Theuerkauf,
Ben Halloran,
Marcel Titsch-Rivero,
Tim Skarke,
Dominik Widemann,
Julius Reinhardt,
Dave Gnaase,
Smail Morabit,
Andreas Voglsammer,
Bard Finne,
Denis Thomalla,
Daniel Frahn,
Adriano Grimaldi,
Felix Schr&ouml;ter,
Rafal Gikiewicz,
Marcel Engelhardt,
Jasmin Fejzic,
Ken Reichel,
Saulo Decarli,
Joseph Baffo,
Phil Ofosu-Ayeh,
Maximilian Sauer,
Marcel Correia,
Deniz Dogan,
Dennis Slamar,
Mohammed Baghdadi,
Salim Khelifi,
Gerrit Holtmann,
Adam Matuschyk,
Mirko Boland,
Jan Hochscheidt,
Nik Omladic,
Hendrick Zuck,
Patrick Sch&ouml;nfeld,
Marc Pfitzner,
Niko Kijewski,
Damir Vrancic,
Orhan Ademi,
Emil Berggreen,
Domi Kumbela,
Julius D&uuml;ker,
Phillip Tietz,
Mads Hvilsom,
Torsten Oehrl,
Sebastian Mielitz,
Mark Flekken,
Bastian Lerch,
Leopold Zingerle,
Marco Caligiuri,
Niko Gie&szlig;elmann,
Benedikt R&ouml;cker,
Marcel Franke,
Sebastian Heidinger,
Stephan Schr&ouml;ck,
Stefan Thesker,
Nicolai Rapp,
Ronny Marcos,
Zsolt Korcsmar,
Marco Stiepermann,
J&uuml;rgen Gjasula,
Andreas Hofmann,
Tom Weilandt,
Goran Sukalo,
Maurice Hirsch,
Roberto Rodriguez,
Florian Trinks,
Andreas Lam,
Tim Bodenr&ouml;der,
Tom Trybull,
Veton Berisha,
Robert Zulj,
Sebastian Freis,
Johannes Wurtz,
Zlatko Tripic,
Ante Vukusic,
Domi Kumbela,
George Davies,
Stefan Maderer,
Marius M&uuml;ller,
Zlatan Alomerovic,
Julian Pollersbeck,
Stipe Vucur,
Jean Zimmer,
Chris L&ouml;we,
Tim Heubach,
Sascha Mockenhaupt,
Andr&eacute; Fomitschow,
Michael Schulze,
Michael Schultz,
Michael Schindele,
Ruben Yttergard Jenssen,
Daniel Halfar,
Markus Karl,
Patrick Ziegler,
Marcel Gaus,
Alexander Ring,
Mateusz Klich,
Marcus Piossek,
Manfred Osei Kwadwo,
Erik Thommy,
Mario Pokar,
Tino Schmidt,
Kacper Przybylko,
Antonio-Mirko Colak,
Maurice Deville,
Lukas G&ouml;rtler,
J&oacute;n Dadi B&ouml;dvarsson,
Robert Pich,
Stefan Mugosa,
Sebastian Jacob,
Erik Wekesser,
Marco Knaller,
Phillipp K&uuml;hn,
Rick Wulle,
Tim Kister,
Leart Paqarada,
Philipp Klingmann,
Florian H&uuml;bner,
Damian Ro&szlig;bach,
Daniel Schulz,
Seyi Olajengbesi,
Nico Hammann,
Denis Linsmayer,
Stefan Kulovits,
Marco Thiede,
Robert Zillner,
Jakub Kosecki,
Alexander Bieler,
Thomas Pledl,
Korbinian Vollmann,
Kevin Kratz,
Dominik Stolz,
Eric Schaaf,
Moritz Kuhn,
Erik Zenga,
Steven Zellner,
Manuel Stiefler,
Andrew Wooten,
Aziz Bouhaddouz,
Ranisav Jovanovic,
Jos&eacute; Pierre Vunguidica,
Wolfgang Hesl,
Nikolai Rehnen,
Daniel Davari,
Florian Dick,
Sebastian Schuppan,
Julian B&ouml;rner,
Stephan Salger,
Felix Burmeister,
Manuel Hornig,
Steffen Lang,
Samir Benamar,
Jonas Strifler,
Brian Behrendt,
David Ulm,
Manuel Junglas,
Tom Sch&uuml;tz,
Michael G&ouml;rlitz,
Dennis Mast,
Francisco Rodriguez,
Seung-Woo Ryu,
Christian M&uuml;ller,
Amin Affane,
Bj&ouml;rn Jopek,
Daniel Brinkmann,
Peer Kluge,
Marco Hober,
Fabian Klos,
Christoph Hemlein,
Christopher N&ouml;the,
Andreas Voglsammer,
Koen van der Biezen,
Vitus Eicher,
Stefan Ortega,
Michael Netolitzky,
Christopher Schindler,
Gary Kagelmacher,
Maximilian Wittek,
Milos Degenek,
Kai B&uuml;low,
Jan Mauersberger,
Rodnei,
Jannik Bandowski,
Vladimir Kovac,
Guillermo Vallori,
Ohis Felix Uduokhai,
Michael Liendl,
Daniel Adlung,
Daylon Claasen,
Korbinian Vollmann,
Valdet Rama,
Sertan Yegenoglu,
Levent Aycicek,
Romuald Lacazette,
Maximilian Beister,
Richard Neudecker,
Dominik Stahl,
Emanuel Taffertshofer,
Ilie Sanchez,
Goran Sukalo,
Rubin Okotie,
Stefan Mugosa,
Marius Wolf,
Sascha M&ouml;lders,
Stephane Mvibudulu,
Fejsal Mulic,
Nico Karger,
Stephan Hain,
Kriszti&aacute;n Simon,
Michael Rensing,
Lars Unnerstall,
Tim Wiesner,
Julian Schauerte,
Karim Haggui,
Lukas Schmitz,
Alexander Madlung,
Kevin Akpoguma,
Christian Strohdiek,
Christopher Avevor,
Fabian Holthaus,
Axel Bellinghausen,
Sercan Sararer,
Julian Koch,
Kerem Demirbay,
Oliver Fink,
Adam Bodzek,
Marcel Sobottka,
Michael Liendl,
Christian Gartner,
Sergio da Silva Pinto,
Kaan Akca,
Tugrul Erat,
Justin Kinjo,
Joel Pohjanpalo,
Ihlas Bebou,
Didier Ya Konan,
Mathis Bolly,
Charalampos Mavrias,
Nikola Djurdjic,
Mike van Duinen,
Emmanuel Iyoha,
R&uuml;zgar Kemal,
Andr&eacute; Weis,
S&ouml;ren Pirson,
Jannis Pellowski,
Alexander Huber,
Ehsan Haji Safi,
Shawn Maurice Barry,
Florian Ballas,
Lukas Gugganig,
Joan Oumari,
Alexander Bittroff,
Tom Beugelsdijk,
Gabriel Silva,
Heinrich Schmidtgal,
Markus Ballmert,
Florijon Belegu,
Marc Hornschuh,
Fanol Perdedaj,
Manuel Konrad,
Besar Halimi,
Denis Epstein,
Marc-Andr&eacute; Kruska,
Mario Engels,
Yann,
Zsolt Kalmar,
Timm Golley,
In-Hyeok Park,
Niki Zimling,
Joel Gerezgiher,
Denis Mangafic,
Nahom Gebru,
Leon Hammel,
Dani Schahin,
Zlatko Dedic,
Felipe Pires,
Edmond Kapllani,
Taiwo Awoniyi,
Mohamed Amine Aoudia,
Michael Ratajczak,
Maurice Schumacher,
Marcel Lenz,
Timothy Dieng,
Branimir Bajic,
Rolf Feltscher,
Thomas Mei&szlig;ner,
Dustin Bomheuer,
Dan-Patrick Poggenberg,
Lasha Dvali,
Gianluca Hossmann,
Matthias K&uuml;hne,
Erik Wille,
Nurettin Kayaoglu,
Kevin Wolze,
Steffen Bohl,
James Holland,
Tim Albutat,
Dennis Grote,
Zlatko Janjic,
Nico Klotz,
Martin Dausch,
Baris &Ouml;zbek,
Enis Hajri,
Pierre de Wit,
Andreas Wiegel,
Ahmet Engin,
Dominik Behr,
Kingsley Onuegbu,
Thomas Br&ouml;ker,
Giorgi Chanturia,
Stanislav Iljutcenko,
Kevin Scheidhauer,
Victor Obinna,
Toman&eacute;,
Simon Brandstetter,
Lukas Kruse,
Daniel Heuer-Fernandes,
Alexander N&uuml;bel,
Jonas Brammen,
Hauke Wahl,
Niklas Hoheneder,
Florian Hartherz,
Michael Heinloth,
Daniel Br&uuml;ckner,
Thomas Bertels,
Khaled Narey,
Tim Sebastian,
Uwe H&uuml;nemeier,
Florian Ruck,
Rafa,
Marvin Bakalorz,
Moritz Stoppelkamp,
S&uuml;leyman Koc,
Kevin St&ouml;ger,
Dominik Wydra,
Marcel Ndjeng,
Idir Ouali,
Robin Krau&szlig;e,
Mirnes Pepic,
Christian Bickel,
Sebastian Schonlau,
Oliver Kirch,
Marc Vucinovic,
Nick Proschwitz,
Mahir Saglik,
Niclas Helenius,
Marc Brasnic,
Srdjan Lakic,
Jakub Sylvestr,
Janis Blaswich,
Patrick Wiegers,
Markus Schubert,
Jean-Francois Kornetzky,
Christian Tietz,
Markus Scholz,
Patrick Wiegers,
Giuliano Modica,
Michael Hefele,
Fabian M&uuml;ller,
Niklas Kreuzer,
Nils Teixeira,
Jannik M&uuml;ller,
Fabian Holthaus,
Niklas Landgraf,
Justin Eilers,
Andreas Lambertz,
Marvin Stefaniak,
Aias Aosman,
Marco Hartmann,
Quirin Moll,
Jim-Patrick M&uuml;ller,
Sinan Tekerci,
Robert Andrich,
Luca D&uuml;rholtz,
Niklas Hauptmann,
Robin Flu&szlig;,
Pascal Testroet,
Stefan Kutschke,
Tim V&auml;yrynen,
Mathias Fetsch,
Tom Hagemann,
Martin M&auml;nnel,
Mario Seidel,
Robert Jendrusch,
Calogero Rizzuto,
Steve Breitkreuz,
Adam Susac,
Sebastian Hertner,
Julian Riedel,
Pawel Baranowski,
Benedikt Krug,
Marcin Sieber,
Nils Miatke,
&Ouml;mer Yildirim,
Philipp Riese,
Simon Skarlatidis,
Louis Samson,
Mario Kvesic,
Christian Tiffert,
Mike K&ouml;nnecke,
Simon Handle,
Cebio Soukou,
Bj&ouml;rn Kluft,
Philip Hauck,
Nicky Adler,
Max Wegner,
Pascal K&ouml;pke,
Tom Nattermann,
Hakki Yildiz,
Killien Jungen,
Robert Wulnikowski,
Dominik Brunnh&uuml;bner,
Kenan Mujezinovic,
Royal Dominique Fennell,
Richard Weil,
Clemens Schoppenhauer,
Dominik Nothnagel,
Peter Kurzweg,
Dennis Russ,
Paul Thomik,
Niklas Wei&szlig;enberger,
Christian Demirtas,
Nico Herzig,
Rico Benatelli,
Joannis Karsanidis,
Amir Shapourzadeh,
Nejmeddin Daghfous,
Daniel Nagy,
Marco Haller,
Lukas Billick,
Liridon Vocaj,
Emanuel Taffertshofer,
